NumeActiune,Timestamp
logIn,2022-04-27T13:40:19.866914
menu,2022-04-27T13:40:31.977795
viewProfile,2022-04-27T13:40:33.548514
reviewHotel,2022-04-27T13:40:40.645598
viewHotelServices,2022-04-27T13:40:43.827163
logOut,2022-04-27T13:40:56.110477
logIn,2022-04-27T13:46:50.115293
menu,2022-04-27T13:47:00.324194
viewProfile,2022-04-27T13:47:01.934180
viewHotelServices,2022-04-27T13:47:04.069100
checkOut,2022-04-27T13:47:20.329518
logOut,2022-04-27T13:47:25.010859
logIn,2022-04-27T13:47:33.871121
menu,2022-04-27T13:47:58.944469
viewAllBookings,2022-04-27T13:48:02.567029
viewAllPayments,2022-04-27T13:48:03.592756
viewAllCustomers,2022-04-27T13:48:04.530831
viewAllRooms,2022-04-27T13:48:06.315822
logOut,2022-04-27T13:48:10.812235
